DateTime,ForecastTemperature,ForecastRelativeHumidity,ForecastWindDirection,ForecastWindSpeed
2023-07-01 01:01:00,27.3,88.0,198.0,2.9
2023-07-01 02:01:00,27.0,90.0,31.0,1.1
2023-07-01 03:01:00,28.3,88.8,190.0,5.9
2023-07-01 04:01:00,31.2,75.5,180.0,12.7
2023-07-01 05:01:00,32.3,74.7,186.0,14.8
2023-07-01 06:01:00,28.0,89.1,212.0,7.6
2023-07-01 07:01:00,27.9,89.9,208.0,7.1
2023-07-01 08:01:00,30.9,76.6,187.0,11.9
2023-07-01 09:01:00,30.4,79.2,172.0,10.0
2023-07-01 10:01:00,31.5,74.4,162.0,9.7
2023-07-01 11:01:00,28.3,88.6,188.0,5.0
2023-07-02 11:01:00,28.2,88.0,250.0,7.6
2023-07-02 12:01:00,29.1,82.0,190.0,8.3
2023-07-02 13:01:00,28.8,83.7,179.0,10.0
2023-07-02 14:01:00,29.9,80.3,172.0,11.0
2023-07-02 15:01:00,29.9,80.0,175.0,10.0
2023-07-02 16:01:00,29.1,82.2,171.0,11.4
2023-07-02 17:01:00,29.1,81.6,172.0,10.5
2023-07-02 18:01:00,28.6,82.4,168.0,9.2
2023-07-02 19:01:00,28.2,84.2,170.0,7.7
2023-07-02 20:01:00,28.1,85.6,178.0,6.5
2023-07-02 21:01:00,28.3,85.6,174.0,8.0
2023-07-02 22:01:00,27.9,88.5,172.0,6.8
2023-07-02 23:01:00,27.7,89.3,175.0,5.9
2023-07-03 00:01:00,27.6,89.1,178.0,6.4
2023-07-03 01:01:00,27.6,89.3,173.0,5.8
2023-07-03 02:01:00,27.6,88.8,180.0,6.3
2023-07-03 03:01:00,27.1,89.5,188.0,6.2
2023-07-03 04:01:00,26.8,89.2,187.0,4.7
2023-07-03 05:01:00,26.2,89.7,182.0,5.7
2023-07-03 06:01:00,26.1,90.4,213.0,5.0
2023-07-03 07:01:00,27.1,87.8,207.0,5.2
2023-07-03 08:01:00,28.1,85.2,176.0,6.6
2023-07-03 09:01:00,29.0,83.1,172.0,8.8
2023-07-03 10:01:00,29.3,81.4,178.0,9.8
2023-07-03 11:01:00,30.6,78.3,176.0,11.0
2023-07-03 12:01:00,31.2,76.5,183.0,12.1
2023-07-03 13:01:00,30.1,80.7,179.0,13.2
2023-07-03 14:01:00,30.1,79.1,174.0,13.8
2023-07-03 15:01:00,29.8,79.2,178.0,12.3
2023-07-03 16:01:00,29.4,79.4,172.0,12.0
